"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3214","@KAN-5 TC03 - Login User with incorrect email and password","chromium","Sat Sep 14 14:13:37 UTC 2024","passed","Sat Sep 14 14:13:41 UTC 2024","","autoExercisePOM_2.spec.ts","",""
"","4422","@KAN-1 TC02 - Login User with correct email and password","chromium","Sat Sep 14 14:13:33 UTC 2024","passed","Sat Sep 14 14:13:37 UTC 2024","","autoExercisePOM_2.spec.ts","",""
"","3993","@KAN-7 TC04 - Logout User","chromium","Sat Sep 14 14:13:41 UTC 2024","passed","Sat Sep 14 14:13:45 UTC 2024","","autoExercisePOM_2.spec.ts","",""
"","6505","@KAN-6 TC01 - Register User","chromium","Sat Sep 14 14:13:25 UTC 2024","passed","Sat Sep 14 14:13:32 UTC 2024","","autoExercisePOM_2.spec.ts","",""
